nombre,fecha_publicacion,rating,ratings_count,generos,tags,metacritic,plataformas,usuarios_interesados
Grand Theft Auto V,2013-09-17,4.47,7101,['Action'],"['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Full controller support', 'Atmospheric', 'Great Soundtrack', 'RPG', 'Co-op', 'Open World', 'cooperative', 'First-Person', 'Third Person', 'Funny', 'Sandbox', 'Comedy', 'Third-Person Shooter', 'Moddable', 'Crime', 'vr mod']",92.0,"['PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Xbox 360', 'PlayStation 3']",22018
The Witcher 3: Wild Hunt,2015-05-18,4.65,6895,"['Action', 'RPG']","['Singleplayer', 'Full controller support', 'Atmospheric', 'Great Soundtrack', 'RPG', 'Story Rich', 'Open World', 'Third Person', 'Fantasy', 'Sandbox', 'Action RPG', 'Dark', 'Nudity', 'controller support', 'Choices Matter', 'Dark Fantasy', 'Mature', 'Medieval', 'Magic', 'Multiple Endings']",92.0,"['PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Nintendo Switch', 'macOS']",21661
Portal 2,2011-04-18,4.59,5890,"['Shooter', 'Puzzle']","['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Full controller support', 'Steam Cloud', 'Atmospheric', 'steam-trading-cards', 'Co-op', 'Story Rich', 'cooperative', 'First-Person', 'Sci-fi', 'FPS', 'Online Co-Op', 'Funny', 'Female Protagonist', 'Comedy', 'Local Co-Op', 'stats', 'Steam Workshop', 'Space', 'Includes level editor', 'Captions available', 'Commentary available', 'Science']",95.0,"['PC', 'Xbox One', 'macOS', 'Linux', 'Xbox 360', 'PlayStation 3']",20546
Tomb Raider (2013),2013-03-05,4.06,3999,['Action'],"['Singleplayer', 'Multiplayer', 'Full controller support', 'Atmospheric', 'RPG', 'Third Person', 'Exploration', 'Classic', 'Female Protagonist', 'Stealth', 'Action-Adventure', 'Third-Person Shooter', 'Retro', 'Cinematic', 'Quick-Time Events', 'Dinosaurs', 'Lara Croft']",86.0,"['PC', 'Xbox One', 'PlayStation 4', 'macOS', 'Xbox 360', 'PlayStation 3']",17581
The Elder Scrolls V: Skyrim,2011-11-11,4.42,4760,"['Action', 'RPG']","['Singleplayer', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'steam-trading-cards', 'Great Soundtrack', 'RPG', 'Story Rich', 'Open World', 'First-Person', 'Third Person', 'Partial Controller Support', 'Fantasy', 'Sandbox', 'Action RPG', 'Steam Workshop', 'role-playing', 'Moddable', 'Character Customization', 'Dark Fantasy', 'Medieval', 'Magic', 'Lore-Rich', 'Dragons']",94.0,"['PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Nintendo Switch', 'Xbox 360', 'PlayStation 3']",16528
Red Dead Redemption 2,2018-10-26,4.59,5240,['Action'],"['Singleplayer', 'Multiplayer', 'Atmospheric', 'Great Soundtrack', 'Co-op', 'Story Rich', 'Open World', 'First-Person', 'Third Person', 'Partial Controller Support', 'FPS', 'Online Co-Op', 'Gore', 'Exploration', 'Sandbox', 'Violent', 'Third-Person Shooter', 'PvP', 'In-App Purchases', 'Mature', 'Realistic', 'Historical', 'Cinematic', 'Crime', 'Online PvP', '3rd-Person Perspective', 'Blood', 'America', 'Masterpiece', 'Beautiful', 'Hunting', 'Western', '3rd-person']",96.0,"['PC', 'Xbox One', 'PlayStation 4']",16333
BioShock Infinite,2013-03-26,4.38,4111,"['Shooter', 'Action']","['Singleplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Atmospheric', 'steam-trading-cards', 'Great Soundtrack', 'RPG', 'Story Rich', 'First-Person', 'Sci-fi', 'FPS', 'Fantasy', 'Gore', 'Controller', 'Dystopian', 'Linear', 'Steampunk', 'Alternate History', 'Time Travel', 'Political']",94.0,"['PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'Linux', 'Xbox 360', 'PlayStation 3']",15916
Life is Strange,2015-01-29,4.12,3706,['Adventure'],"['Singleplayer', 'Full controller support', 'Atmospheric', 'steam-trading-cards', 'Great Soundtrack', 'Story Rich', 'Third Person', 'Female Protagonist', 'Dark', 'Point & Click', 'Mystery', 'Short', 'Choices Matter', 'Memes', 'Walking Simulator', 'Multiple Endings', 'Story', 'Episodic', 'Soundtrack', 'Time Travel', 'Time Manipulation', 'student', 'strange', 'photography']",83.0,"['PC', 'PlayStation 4', 'Xbox One', 'iOS', 'Android', 'macOS', 'Linux', 'Xbox 360', 'PlayStation 3']",15758
Destiny 2,2017-09-06,3.52,2641,"['Shooter', 'Action']","['Singleplayer', 'Multiplayer', 'Full controller support', 'Atmospheric', 'Great Soundtrack', 'Co-op', 'Open World', 'cooperative', 'First-Person', 'Sci-fi', 'FPS', 'Online Co-Op', 'Exploration', 'Free to Play', 'Online multiplayer', 'Action-Adventure', 'PvP', 'Space', 'combat', 'Futuristic', 'Aliens', 'Story', '3rd-Person Perspective', 'online', 'MMORPG', 'PvE', 'Loot', 'Lore-Rich', 'city', 'friends', 'console', 'Masterpiece', 'weapons', 'skill', 'destroy', 'collect', 'hunt', 'gun', 'rain', 'enemy', 'quick', 'darkness', 'defender']",82.0,"['PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Web']",14519
Fallout 4,2015-11-09,3.81,3351,"['Action', 'RPG']","['Singleplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Atmospheric', 'Great Soundtrack', 'RPG', 'Story Rich', 'Open World', 'First-Person', 'Third Person', 'Sci-fi', 'FPS', 'Exploration', 'Sandbox', 'Survival', 'Action RPG', 'Third-Person Shooter', 'Post-apocalyptic']",84.0,"['PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4']",14082
PAYDAY 2,2013-08-13,3.52,2207,"['Shooter', 'Action']","['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Full controller support', 'steam-trading-cards', 'Great Soundtrack', 'Co-op', 'cooperative', 'First-Person', 'FPS', 'Online Co-Op', 'Funny', 'Stealth', 'Tactical', 'In-App Purchases', 'Team-Based', 'Crime', 'PvE', 'Heist', 'Gun Customization']",79.0,"['PC', 'Xbox One', 'Linux']",14076
Limbo,2010-07-21,4.14,3325,"['Adventure', 'Action', 'Puzzle', 'Indie', 'Platformer']","['Singleplayer', 'Full controller support', 'Atmospheric', '2D', 'Horror', 'Difficult', 'Action-Adventure', 'Pixel Graphics', 'Controller', 'Dark', 'controller support', 'Short', 'Dark Fantasy', 'Physics', 'Side Scroller', 'Cinematic', 'combat', 'Linear', 'Surreal', 'Puzzle-Platformer', 'Minimalist', '2D Fighter', 'Noir', 'Family Sharing', '2D Platformer', '2D-платформер', '2D-файтинг']",88.0,"['PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'Android', 'macOS', 'Linux', 'Xbox 360', 'PlayStation 3', 'PS Vita']",13956
DOOM (2016),2016-05-12,4.38,3560,"['Shooter', 'Action']","['Singleplayer', 'Multiplayer', 'Atmospheric', 'Great Soundtrack', 'Co-op', 'cooperative', 'First-Person', 'Sci-fi', 'Partial Controller Support', 'Horror', 'FPS', 'Gore', 'Difficult', 'Classic', 'Zombies', 'Memes', 'Fast-Paced', 'Remake', 'Blood', 'Demons']",85.0,"['PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch']",13861
Cyberpunk 2077,2020-12-10,4.21,2821,"['Shooter', 'Action', 'RPG']","['Singleplayer', 'Atmospheric', 'Great Soundtrack', 'RPG', 'Story Rich', 'Open World', 'First-Person', 'Sci-fi', 'FPS', 'Exploration', 'Sandbox', 'Violent', 'Action-Adventure', 'Action RPG', 'role-playing', 'Nudity', 'Mature', 'Cinematic', 'Futuristic', 'Sexual Content', 'Cyberpunk', 'Crime', 'Robots', '3rd-Person Perspective', 'Blood', 'America', 'Masterpiece', 'Soundtrack', 'Hacking', 'Role Playing Game', 'immersive', 'Photorealistic']",73.0,"['PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X']",13552
Terraria,2011-05-16,4.07,2410,"['Platformer', 'Indie', 'Action']","['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Full controller support', 'Steam Cloud', 'Atmospheric', 'steam-trading-cards', 'RPG', 'Co-op', 'Open World', '2D', 'Online Co-Op', 'Exploration', 'Sandbox', 'Survival', 'Online multiplayer', 'Pixel Graphics', 'role-playing', 'Family Friendly', 'controller support', 'Replay Value', 'Crafting', 'Building', 'overlay']",81.0,"['PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'iOS', 'Android', 'Nintendo 3DS', 'macOS', 'Linux', 'Xbox 360', 'PlayStation 3', 'PS Vita', 'Wii U']",13374
Warframe,2013-03-25,3.42,2087,"['Shooter', 'Massively Multiplayer', 'Action', 'RPG']","['Singleplayer', 'Multiplayer', 'steam-trading-cards', 'RPG', 'Co-op', 'cooperative', 'Third Person', 'Sci-fi', 'Partial Controller Support', 'FPS', 'Online Co-Op', 'Free to Play', 'Third-Person Shooter', 'Space', 'role-playing', 'Hack and Slash', 'In-App Purchases', 'Futuristic', 'Parkour', 'Cyberpunk', 'PvE', 'Ninja', 'looter shooter']",73.0,"['PC', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Xbox Series S/X', 'Nintendo Switch', 'iOS']",13076
Grand Theft Auto IV,2008-04-29,4.26,3030,['Action'],"['Singleplayer', 'Multiplayer', 'Atmospheric', 'Co-op', 'Open World', 'cooperative', 'Third Person', 'Partial Controller Support', 'Funny', 'Gore', 'Classic', 'Sandbox', 'Third-Person Shooter', 'Moddable', 'Crime', 'Dark Humor', 'Satire', 'first person mod', 'Bowling']",95.0,"['PC', 'Xbox One', 'Xbox 360', 'PlayStation 3']",12985
Rocket League,2015-07-07,3.93,2822,"['Racing', 'Indie', 'Sports']","['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Full controller support', 'Steam Cloud', 'steam-trading-cards', 'Great Soundtrack', 'Co-op', 'cooperative', 'Online Co-Op', 'Funny', 'Split Screen', 'Local Co-Op', 'Local Multiplayer', 'stats', 'Steam Workshop', 'Cross-Platform Multiplayer', 'Team-Based', 'Fast-Paced', 'Competitive', '4 Player Local', '4 giocatori divano', 'Football', 'Soccer', 'lan party']",86.0,"['PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'macOS', 'Linux']",12769
Rise of the Tomb Raider,2015-11-10,4.04,2741,['Action'],"['Singleplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Atmospheric', 'steam-trading-cards', 'Great Soundtrack', 'RPG', 'Story Rich', 'Open World', 'Third Person', 'Exploration', 'Steam Leaderboards', 'Female Protagonist', 'Survival', 'Stealth', 'Action-Adventure', 'Third-Person Shooter', 'Parkour', 'Quick-Time Events', 'Lara Croft']",86.0,"['PC', 'Xbox One', 'PlayStation 4', 'macOS']",12212
Batman: Arkham Knight,2015-06-23,4.24,2627,['Action'],"['Singleplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Atmospheric', 'steam-trading-cards', 'Story Rich', 'Open World', 'Third Person', 'Horror', 'Steam Leaderboards', 'Sandbox', 'Stealth', 'Dark', 'Mature', ""Beat 'em up"", 'Detective', 'Comic Book', 'Superhero', 'Batman']",81.0,"['PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch']",12101
Metal Gear Solid V: The Phantom Pain,2015-09-01,4.16,2496,"['Shooter', 'Action']","['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Full controller support', 'Steam Cloud', 'Atmospheric', 'steam-trading-cards', 'Great Soundtrack', 'Story Rich', 'Open World', 'Third Person', 'Sci-fi', 'Steam Leaderboards', 'Sandbox', 'Stealth', 'Tactical', 'Third-Person Shooter', 'Dark', 'Captions available', 'Replay Value', 'Cinematic', 'Heist', 'Horses']",91.0,"['PC', 'Xbox One', 'PlayStation 4', 'Xbox 360', 'PlayStation 3']",12071
Apex Legends,2019-02-04,3.64,2384,"['Shooter', 'Action']","['Multiplayer', 'Full controller support', 'Atmospheric', 'Co-op', 'First-Person', 'Sci-fi', 'FPS', 'Online Co-Op', 'Exploration', 'Survival', 'Free to Play', 'Action-Adventure', 'Tactical', 'Dark', 'PvP', 'Character Customization', 'Cinematic', 'combat', 'Team-Based', 'Cyberpunk', 'Battle Royale', 'Hero Shooter', 'lootboxes']",80.0,"['PC', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'macOS']",11957
Grand Theft Auto: San Andreas,2004-10-26,4.5,3887,['Action'],"['Singleplayer', 'Multiplayer', 'Atmospheric', 'Great Soundtrack', 'Story Rich', 'Open World', 'Third Person', 'Partial Controller Support', 'Funny', 'Classic', 'Sandbox', 'Comedy', 'Moddable', 'Mature', 'Crime', 'Driving', 'first person mod', 'Remote Play on Tablet', 'Remote Play on Phone', 'controversial', 'karaihb']",93.0,"['PC', 'Xbox One', 'PlayStation 4', 'iOS', 'Android', 'macOS', 'Xbox 360', 'Xbox', 'PlayStation 3', 'PlayStation 2']",11781
Middle-earth: Shadow of Mordor,2014-09-30,3.9,2507,"['Action', 'RPG']","['Singleplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Atmospheric', 'steam-trading-cards', 'RPG', 'Story Rich', 'Open World', 'Third Person', 'Fantasy', 'Gore', 'Sandbox', 'Stealth', 'Action RPG', 'Hack and Slash', 'Dark Fantasy', 'Magic', 'Parkour', 'Assassin', 'Lore-Rich', 'Based On A Novel', 'steam', 'category', 'microtranzations']",85.0,"['PC', 'PlayStation 4', 'Xbox One', 'macOS', 'Linux', 'Xbox 360', 'PlayStation 3']",11629
